Product ID	Product Name	Category	Selling Price (₹)	MRP (₹)	Discount (%)	Rating	Reviews	Stock	SKU	Short Description	Featured	Deal Product
14	Lava Blaze Series	Mobiles	4820	8029	40	4.2	20980	447	AST-MOB-0014	Lava Blaze Series available on ASTOMITY.	Yes	Yes
15	Nokia Smartphone Series	Mobiles	8580	10729	20	4.3	7015	363	AST-MOB-0015	Nokia Smartphone Series available on ASTOMITY.	Yes	No
16	Samsung Galaxy M14 5G — Variant 2	Mobiles	9970	11729	15	4.5	5757	293	AST-MOB-0016	Samsung Galaxy M14 5G — Variant 2 available on ASTOMITY.	Yes	No
17	iQOO Z9 5G — Variant 2	Mobiles	16840	22459	25	4.1	12583	158	AST-MOB-0017	iQOO Z9 5G — Variant 2 available on ASTOMITY.	Yes	No
18	OnePlus Nord CE — Variant 2	Mobiles	20550	27399	25	4.5	1982	137	AST-MOB-0018	OnePlus Nord CE — Variant 2 available on ASTOMITY.	Yes	No
19	Redmi Note Series — Variant 2	Mobiles	16570	18409	10	4.6	13295	157	AST-MOB-0019	Redmi Note Series — Variant 2 available on ASTOMITY.	Yes	No
20	Realme Narzo Series — Variant 2	Mobiles	7250	9669	25	4.7	18735	468	AST-MOB-0020	Realme Narzo Series — Variant 2 available on ASTOMITY.	Yes	No
21	Motorola G Series — Variant 2	Mobiles	12330	16439	25	4.5	13114	472	AST-MOB-0021	Motorola G Series — Variant 2 available on ASTOMITY.	Yes	No
22	POCO X Series — Variant 2	Mobiles	13290	24159	45	4.1	4725	146	AST-MOB-0022	POCO X Series — Variant 2 available on ASTOMITY.	Yes	Yes
23	Vivo Y Series — Variant 2	Mobiles	11240	22489	50	4.2	19305	239	AST-MOB-0023	Vivo Y Series — Variant 2 available on ASTOMITY.	Yes	Yes
24	OPPO A Series — Variant 2	Mobiles	14370	23949	40	4.3	4682	280	AST-MOB-0024	OPPO A Series — Variant 2 available on ASTOMITY.	Yes	Yes
25	Nothing Phone Series — Variant 2	Mobiles	25580	30099	15	4.6	3742	98	AST-MOB-0025	Nothing Phone Series — Variant 2 available on ASTOMITY.	Yes	No
26	CMF Phone Series — Variant 2	Mobiles	9760	16269	40	4.5	12758	215	AST-MOB-0026	CMF Phone Series — Variant 2 available on ASTOMITY.	Yes	Yes
27	Google Pixel Series — Variant 2	Mobiles	43340	78809	45	4.4	18278	460	AST-MOB-0027	Google Pixel Series — Variant 2 available on ASTOMITY.	Yes	Yes
28	Apple iPhone Series — Variant 2	Mobiles	35600	41879	15	4.5	17745	404	AST-MOB-0028	Apple iPhone Series — Variant 2 available on ASTOMITY.	Yes	No
29	Lava Blaze Series — Variant 2	Mobiles	6320	9729	35	4.1	14396	100	AST-MOB-0029	Lava Blaze Series — Variant 2 available on ASTOMITY.	Yes	Yes
30	Nokia Smartphone Series — Variant 2	Mobiles	10480	11639	10	4.8	23732	154	AST-MOB-0030	Nokia Smartphone Series — Variant 2 available on ASTOMITY.	Yes	No
31	Samsung Galaxy M14 5G — Variant 3	Mobiles	11300	14119	20	4.4	3636	465	AST-MOB-0031	Samsung Galaxy M14 5G — Variant 3 available on ASTOMITY.	Yes	No
32	iQOO Z9 5G — Variant 3	Mobiles	14980	21399	30	4.7	16785	331	AST-MOB-0032	iQOO Z9 5G — Variant 3 available on ASTOMITY.	Yes	Yes
33	OnePlus Nord CE — Variant 3	Mobiles	16060	20069	20	4.3	5443	296	AST-MOB-0033	OnePlus Nord CE — Variant 3 available on ASTOMITY.	Yes	No
34	Redmi Note Series — Variant 3	Mobiles	9880	19759	50	4.7	19776	185	AST-MOB-0034	Redmi Note Series — Variant 3 available on ASTOMITY.	Yes	Yes
35	Realme Narzo Series — Variant 3	Mobiles	12600	13999	10	4.1	12044	469	AST-MOB-0035	Realme Narzo Series — Variant 3 available on ASTOMITY.	Yes	No
36	Motorola G Series — Variant 3	Mobiles	12220	16289	25	4	18741	60	AST-MOB-0036	Motorola G Series — Variant 3 available on ASTOMITY.	Yes	No
37	POCO X Series — Variant 3	Mobiles	7010	12749	45	4.7	17605	412	AST-MOB-0037	POCO X Series — Variant 3 available on ASTOMITY.	Yes	Yes
38	Vivo Y Series — Variant 3	Mobiles	10860	13569	20	4.5	18165	104	AST-MOB-0038	Vivo Y Series — Variant 3 available on ASTOMITY.	Yes	No
39	boAt Wave Smart Watch	Electronics	1170	2349	50	4.7	14015	128	AST-ELE-0039	boAt Wave Smart Watch available on ASTOMITY.	Yes	Yes
40	Realme Buds T300 Earbuds	Electronics	1620	2319	30	4.3	22159	352	AST-ELE-0040	Realme Buds T300 Earbuds available on ASTOMITY.	Yes	Yes
41	JBL Bluetooth Speaker	Electronics	3200	5819	45	4.7	14944	81	AST-ELE-0041	JBL Bluetooth Speaker available on ASTOMITY.	Yes	Yes
42	Sony Wireless Headphones	Electronics	6050	8069	25	4.1	839	321	AST-ELE-0042	Sony Wireless Headphones available on ASTOMITY.	Yes	No
43	HP Intel Core i3 Laptop	Electronics	33250	44330	25	4.5	385	56	AST-ELE-0043	HP Intel Core i3 Laptop available on ASTOMITY.	Yes	No
44	Lenovo IdeaPad Laptop	Electronics	53080	58980	10	4.2	1179	460	AST-ELE-0044	Lenovo IdeaPad Laptop available on ASTOMITY.	Yes	No
45	ASUS Vivobook Laptop	Electronics	52740	62050	15	4.4	9275	362	AST-ELE-0045	ASUS Vivobook Laptop available on ASTOMITY.	Yes	No
46	Acer Aspire Laptop	Electronics	38900	51870	25	4.4	23852	498	AST-ELE-0046	Acer Aspire Laptop available on ASTOMITY.	Yes	No
47	Dell Inspiron Laptop	Electronics	47720	86760	45	4.2	15648	433	AST-ELE-0047	Dell Inspiron Laptop available on ASTOMITY.	Yes	Yes
48	Logitech Wireless Mouse	Electronics	1150	1539	25	4.1	21743	240	AST-ELE-0048	Logitech Wireless Mouse available on ASTOMITY.	Yes	No
49	Mechanical Gaming Keyboard	Electronics	3070	5119	40	4.3	24040	47	AST-ELE-0049	Mechanical Gaming Keyboard available on ASTOMITY.	Yes	Yes
50	1080p Webcam	Electronics	1350	1499	10	4.3	11268	429	AST-ELE-0050	1080p Webcam available on ASTOMITY.	Yes	No
51	Portable SSD	Electronics	3080	4109	25	4.2	17723	249	AST-ELE-0051	Portable SSD available on ASTOMITY.	No	No
52	Wi-Fi Router	Electronics	1020	1709	40	4.1	15309	147	AST-ELE-0052	Wi-Fi Router available on ASTOMITY.	No	Yes
53	Power Bank	Electronics	650	1179	45	4.6	18183	70	AST-ELE-0053	Power Bank available on ASTOMITY.	No	Yes
54	boAt Wave Smart Watch — Variant 2	Electronics	620	1249	50	4.7	3206	494	AST-ELE-0054	boAt Wave Smart Watch — Variant 2 available on ASTOMITY.	No	Yes
55	Realme Buds T300 Earbuds — Variant 2	Electronics	2010	2509	20	4.3	15923	129	AST-ELE-0055	Realme Buds T300 Earbuds — Variant 2 available on ASTOMITY.	No	No
56	JBL Bluetooth Speaker — Variant 2	Electronics	5490	6099	10	4.1	220	219	AST-ELE-0056	JBL Bluetooth Speaker — Variant 2 available on ASTOMITY.	No	No
57	Sony Wireless Headphones — Variant 2	Electronics	4640	8429	45	4.2	22975	394	AST-ELE-0057	Sony Wireless Headphones — Variant 2 available on ASTOMITY.	No	Yes
58	HP Intel Core i3 Laptop — Variant 2	Electronics	24520	49030	50	4.5	16097	99	AST-ELE-0058	HP Intel Core i3 Laptop — Variant 2 available on ASTOMITY.	No	Yes
59	Lenovo IdeaPad Laptop — Variant 2	Electronics	26430	37760	30	4.2	2066	316	AST-ELE-0059	Lenovo IdeaPad Laptop — Variant 2 available on ASTOMITY.	No	Yes
60	ASUS Vivobook Laptop — Variant 2	Electronics	71460	79400	10	4.6	2023	45	AST-ELE-0060	ASUS Vivobook Laptop — Variant 2 available on ASTOMITY.	No	No
61	Acer Aspire Laptop — Variant 2	Electronics	30750	55910	45	4.4	17553	100	AST-ELE-0061	Acer Aspire Laptop — Variant 2 available on ASTOMITY.	No	Yes
62	Dell Inspiron Laptop — Variant 2	Electronics	22320	44640	50	4.1	6239	55	AST-ELE-0062	Dell Inspiron Laptop — Variant 2 available on ASTOMITY.	No	Yes
63	Logitech Wireless Mouse — Variant 2	Electronics	500	669	25	4.3	18817	146	AST-ELE-0063	Logitech Wireless Mouse — Variant 2 available on ASTOMITY.	No	No
64	Mechanical Gaming Keyboard — Variant 2	Electronics	1610	1899	15	4.3	19275	309	AST-ELE-0064	Mechanical Gaming Keyboard — Variant 2 available on ASTOMITY.	No	No
65	1080p Webcam — Variant 2	Electronics	2380	3669	35	4.7	6843	362	AST-ELE-0065	1080p Webcam — Variant 2 available on ASTOMITY.	No	Yes
66	Portable SSD — Variant 2	Electronics	4660	6209	25	4.2	4438	363	AST-ELE-0066	Portable SSD — Variant 2 available on ASTOMITY.	No	No
67	Wi-Fi Router — Variant 2	Electronics	3010	4299	30	4.4	24787	499	AST-ELE-0067	Wi-Fi Router — Variant 2 available on ASTOMITY.	No	Yes
68	Power Bank — Variant 2	Electronics	1050	1169	10	4.4	18598	71	AST-ELE-0068	Power Bank — Variant 2 available on ASTOMITY.	No	No
69	boAt Wave Smart Watch — Variant 3	Electronics	680	1369	50	4.2	8840	87	AST-ELE-0069	boAt Wave Smart Watch — Variant 3 available on ASTOMITY.	No	Yes
70	Realme Buds T300 Earbuds — Variant 3	Electronics	2620	3079	15	4.7	12258	165	AST-ELE-0070	Realme Buds T300 Earbuds — Variant 3 available on ASTOMITY.	No	No
71	JBL Bluetooth Speaker — Variant 3	Electronics	1980	3609	45	4.7	23203	174	AST-ELE-0071	JBL Bluetooth Speaker — Variant 3 available on ASTOMITY.	No	Yes
72	Sony Wireless Headphones — Variant 3	Electronics	7760	15519	50	4	18323	173	AST-ELE-0072	Sony Wireless Headphones — Variant 3 available on ASTOMITY.	No	Yes
73	HP Intel Core i3 Laptop — Variant 3	Electronics	39580	46570	15	4.8	4550	155	AST-ELE-0073	HP Intel Core i3 Laptop — Variant 3 available on ASTOMITY.	No	No
74	Lenovo IdeaPad Laptop — Variant 3	Electronics	29500	34710	15	4.6	5243	159	AST-ELE-0074	Lenovo IdeaPad Laptop — Variant 3 available on ASTOMITY.	No	No
75	ASUS Vivobook Laptop — Variant 3	Electronics	43550	58070	25	4.6	6821	371	AST-ELE-0075	ASUS Vivobook Laptop — Variant 3 available on ASTOMITY.	No	No
76	Acer Aspire Laptop — Variant 3	Electronics	40570	57960	30	4.4	8378	483	AST-ELE-0076	Acer Aspire Laptop — Variant 3 available on ASTOMITY.	No	Yes
77	Puma Men's Sneakers	Fashion	1720	2019	15	4.5	9216	42	AST-FAS-0077	Puma Men's Sneakers available on ASTOMITY.	No	No
78	Safari Laptop Backpack	Fashion	520	799	35	4.6	21026	154	AST-FAS-0078	Safari Laptop Backpack available on ASTOMITY.	No	Yes
79	Casual Denim Jacket	Fashion	1110	2019	45	4.4	14164	307	AST-FAS-0079	Casual Denim Jacket available on ASTOMITY.	No	Yes
80	Oversized T-Shirt	Fashion	350	409	15	4.1	22793	482	AST-FAS-0080	Oversized T-Shirt available on ASTOMITY.	No	No
81	Slim Fit Jeans	Fashion	640	1279	50	4	12248	318	AST-FAS-0081	Slim Fit Jeans available on ASTOMITY.	No	Yes
82	Running Shoes	Fashion	3060	3819	20	4.3	1520	177	AST-FAS-0082	Running Shoes available on ASTOMITY.	No	No
83	Canvas Backpack	Fashion	1470	1629	10	4.7	7033	369	AST-FAS-0083	Canvas Backpack available on ASTOMITY.	No	No
84	Casual Hoodie	Fashion	1210	1429	15	4.3	18496	472	AST-FAS-0084	Casual Hoodie available on ASTOMITY.	No	No
85	Sports Track Pants	Fashion	1310	1639	20	4.7	7907	462	AST-FAS-0085	Sports Track Pants available on ASTOMITY.	No	No
86	Cotton Polo T-Shirt	Fashion	730	909	20	4.7	962	111	AST-FAS-0086	Cotton Polo T-Shirt available on ASTOMITY.	No	No
87	Formal Blazer	Fashion	3750	5769	35	4.6	13641	430	AST-FAS-0087	Formal Blazer available on ASTOMITY.	No	Yes
88	Leather Wallet	Fashion	720	1029	30	4.1	23129	75	AST-FAS-0088	Leather Wallet available on ASTOMITY.	No	Yes
89	Sunglasses	Fashion	2020	2249	10	4.7	7438	122	AST-FAS-0089	Sunglasses available on ASTOMITY.	No	No
90	Analog Watch	Fashion	2740	4979	45	4.3	7607	134	AST-FAS-0090	Analog Watch available on ASTOMITY.	No	Yes
91	Travel Duffle Bag	Fashion	720	959	25	4.3	9279	462	AST-FAS-0091	Travel Duffle Bag available on ASTOMITY.	No	No
92	Puma Men's Sneakers — Variant 2	Fashion	1550	2209	30	4.3	16842	224	AST-FAS-0092	Puma Men's Sneakers — Variant 2 available on ASTOMITY.	No	Yes
93	Safari Laptop Backpack — Variant 2	Fashion	1260	2529	50	4.3	1054	79	AST-FAS-0093	Safari Laptop Backpack — Variant 2 available on ASTOMITY.	No	Yes
94	Casual Denim Jacket — Variant 2	Fashion	2020	2529	20	4.5	8848	39	AST-FAS-0094	Casual Denim Jacket — Variant 2 available on ASTOMITY.	No	No
95	Oversized T-Shirt — Variant 2	Fashion	320	529	40	4.3	10428	243	AST-FAS-0095	Oversized T-Shirt — Variant 2 available on ASTOMITY.	No	Yes
96	Slim Fit Jeans — Variant 2	Fashion	1220	2449	50	4.1	19043	117	AST-FAS-0096	Slim Fit Jeans — Variant 2 available on ASTOMITY.	No	Yes
97	Running Shoes — Variant 2	Fashion	2070	2299	10	4.6	205	286	AST-FAS-0097	Running Shoes — Variant 2 available on ASTOMITY.	No	No
98	Canvas Backpack — Variant 2	Fashion	1550	2069	25	4.3	2442	360	AST-FAS-0098	Canvas Backpack — Variant 2 available on ASTOMITY.	No	No
99	Casual Hoodie — Variant 2	Fashion	1060	1639	35	4.5	4233	388	AST-FAS-0099	Casual Hoodie — Variant 2 available on ASTOMITY.	No	Yes
100	Sports Track Pants — Variant 2	Fashion	680	1359	50	4.2	13532	187	AST-FAS-0100	Sports Track Pants — Variant 2 available on ASTOMITY.	No	Yes
101	Cotton Polo T-Shirt — Variant 2	Fashion	1070	1529	30	4.4	6436	235	AST-FAS-0101	Cotton Polo T-Shirt — Variant 2 available on ASTOMITY.	No	Yes
102	Formal Blazer — Variant 2	Fashion	3240	5399	40	4.5	5852	335	AST-FAS-0102	Formal Blazer — Variant 2 available on ASTOMITY.	No	Yes
103	Leather Wallet — Variant 2	Fashion	1290	1849	30	4.3	163	175	AST-FAS-0103	Leather Wallet — Variant 2 available on ASTOMITY.	No	Yes
104	Sunglasses — Variant 2	Fashion	1320	1759	25	4.3	19154	330	AST-FAS-0104	Sunglasses — Variant 2 available on ASTOMITY.	No	No
105	Analog Watch — Variant 2	Fashion	2700	4149	35	4.4	14638	365	AST-FAS-0105	Analog Watch — Variant 2 available on ASTOMITY.	No	Yes
106	Travel Duffle Bag — Variant 2	Fashion	720	1439	50	4.4	24265	106	AST-FAS-0106	Travel Duffle Bag — Variant 2 available on ASTOMITY.	No	Yes
107	Puma Men's Sneakers — Variant 3	Fashion	1650	2359	30	4.4	20890	337	AST-FAS-0107	Puma Men's Sneakers — Variant 3 available on ASTOMITY.	No	Yes
108	Safari Laptop Backpack — Variant 3	Fashion	1400	1649	15	4.7	24763	140	AST-FAS-0108	Safari Laptop Backpack — Variant 3 available on ASTOMITY.	No	No
109	Casual Denim Jacket — Variant 3	Fashion	2080	2779	25	4.6	4978	32	AST-FAS-0109	Casual Denim Jacket — Variant 3 available on ASTOMITY.	No	No
110	Oversized T-Shirt — Variant 3	Fashion	340	449	25	4.8	20180	455	AST-FAS-0110	Oversized T-Shirt — Variant 3 available on ASTOMITY.	No	No
111	Slim Fit Jeans — Variant 3	Fashion	590	1079	45	4.3	20786	314	AST-FAS-0111	Slim Fit Jeans — Variant 3 available on ASTOMITY.	No	Yes
112	Running Shoes — Variant 3	Fashion	1190	1989	40	4.4	8144	95	AST-FAS-0112	Running Shoes — Variant 3 available on ASTOMITY.	No	Yes
113	Canvas Backpack — Variant 3	Fashion	2130	2369	10	4.7	3642	418	AST-FAS-0113	Canvas Backpack — Variant 3 available on ASTOMITY.	No	No
114	Casual Hoodie — Variant 3	Fashion	1410	1879	25	4.1	22953	285	AST-FAS-0114	Casual Hoodie — Variant 3 available on ASTOMITY.	No	No
115	Dennis Lingo Men Shirt	Men	1600	1779	10	4.4	4126	253	AST-MEN-0115	Dennis Lingo Men Shirt available on ASTOMITY.	No	No
116	Men's Cotton Kurta	Men	570	1039	45	4.5	18464	324	AST-MEN-0116	Men's Cotton Kurta available on ASTOMITY.	No	Yes
117	Men's Formal Trousers	Men	880	1609	45	4.5	23719	476	AST-MEN-0117	Men's Formal Trousers available on ASTOMITY.	No	Yes
118	Men's Casual Shirt	Men	1070	1789	40	4.7	18102	248	AST-MEN-0118	Men's Casual Shirt available on ASTOMITY.	No	Yes
119	Men's Chinos	Men	600	1099	45	4.4	24784	146	AST-MEN-0119	Men's Chinos available on ASTOMITY.	No	Yes
120	Men's Ethnic Jacket	Men	1200	2409	50	4.4	7989	160	AST-MEN-0120	Men's Ethnic Jacket available on ASTOMITY.	No	Yes
121	Men's Running Shorts	Men	820	959	15	4.6	7833	159	AST-MEN-0121	Men's Running Shorts available on ASTOMITY.	No	No
122	Men's Sweatshirt	Men	1010	1549	35	4.7	2790	90	AST-MEN-0122	Men's Sweatshirt available on ASTOMITY.	No	Yes
123	Men's Innerwear Pack	Men	440	589	25	4.3	5157	381	AST-MEN-0123	Men's Innerwear Pack available on ASTOMITY.	No	No
124	Men's Slippers	Men	480	569	15	4.3	10992	297	AST-MEN-0124	Men's Slippers available on ASTOMITY.	No	No
125	Men's Formal Shoes	Men	2030	3379	40	4	13917	219	AST-MEN-0125	Men's Formal Shoes available on ASTOMITY.	No	Yes
126	Men's Grooming Kit	Men	1880	2089	10	4.7	19014	214	AST-MEN-0126	Men's Grooming Kit available on ASTOMITY.	No	No
127	Men's Belt	Men	820	909	10	4.8	9934	405	AST-MEN-0127	Men's Belt available on ASTOMITY.	No	No
128	Men's Backpack	Men	1010	1689	40	4.4	24222	299	AST-MEN-0128	Men's Backpack available on ASTOMITY.	No	Yes
129	Men's Sports Cap	Men	260	479	45	4.2	14431	268	AST-MEN-0129	Men's Sports Cap available on ASTOMITY.	No	Yes
130	Dennis Lingo Men Shirt — Variant 2	Men	400	669	40	4.3	22404	428	AST-MEN-0130	Dennis Lingo Men Shirt — Variant 2 available on ASTOMITY.	No	Yes
131	Men's Cotton Kurta — Variant 2	Men	1380	1729	20	4.7	4332	338	AST-MEN-0131	Men's Cotton Kurta — Variant 2 available on ASTOMITY.	No	No
132	Men's Formal Trousers — Variant 2	Men	1940	2159	10	4.7	19545	308	AST-MEN-0132	Men's Formal Trousers — Variant 2 available on ASTOMITY.	No	No
133	Men's Casual Shirt — Variant 2	Men	480	559	15	4.5	4596	463	AST-MEN-0133	Men's Casual Shirt — Variant 2 available on ASTOMITY.	No	No
134	Men's Chinos — Variant 2	Men	1500	1879	20	4	12572	187	AST-MEN-0134	Men's Chinos — Variant 2 available on ASTOMITY.	No	No
135	Men's Ethnic Jacket — Variant 2	Men	1140	2079	45	4.3	12573	162	AST-MEN-0135	Men's Ethnic Jacket — Variant 2 available on ASTOMITY.	No	Yes
136	Men's Running Shorts — Variant 2	Men	650	929	30	4.7	15561	29	AST-MEN-0136	Men's Running Shorts — Variant 2 available on ASTOMITY.	No	Yes
137	Men's Sweatshirt — Variant 2	Men	1870	2079	10	4.8	11617	134	AST-MEN-0137	Men's Sweatshirt — Variant 2 available on ASTOMITY.	No	No
138	Men's Innerwear Pack — Variant 2	Men	1040	1229	15	4.6	21506	40	AST-MEN-0138	Men's Innerwear Pack — Variant 2 available on ASTOMITY.	No	No
139	Men's Slippers — Variant 2	Men	1130	1259	10	4.8	6682	449	AST-MEN-0139	Men's Slippers — Variant 2 available on ASTOMITY.	No	No
140	Men's Formal Shoes — Variant 2	Men	880	1099	20	4.2	15667	362	AST-MEN-0140	Men's Formal Shoes — Variant 2 available on ASTOMITY.	No	No
141	Men's Grooming Kit — Variant 2	Men	670	889	25	4.4	8546	412	AST-MEN-0141	Men's Grooming Kit — Variant 2 available on ASTOMITY.	No	No
142	Men's Belt — Variant 2	Men	620	769	20	4.5	24658	387	AST-MEN-0142	Men's Belt — Variant 2 available on ASTOMITY.	No	No
143	Men's Backpack — Variant 2	Men	790	989	20	4.8	3692	316	AST-MEN-0143	Men's Backpack — Variant 2 available on ASTOMITY.	No	No
144	Men's Sports Cap — Variant 2	Men	160	229	30	4.5	12448	223	AST-MEN-0144	Men's Sports Cap — Variant 2 available on ASTOMITY.	No	Yes
145	Dennis Lingo Men Shirt — Variant 3	Men	930	1099	15	4.5	20703	144	AST-MEN-0145	Dennis Lingo Men Shirt — Variant 3 available on ASTOMITY.	No	No
146	Men's Cotton Kurta — Variant 3	Men	670	959	30	4.7	19824	432	AST-MEN-0146	Men's Cotton Kurta — Variant 3 available on ASTOMITY.	No	Yes
147	Men's Formal Trousers — Variant 3	Men	990	1099	10	4.3	14187	358	AST-MEN-0147	Men's Formal Trousers — Variant 3 available on ASTOMITY.	No	No
148	Men's Casual Shirt — Variant 3	Men	1220	1439	15	4.4	11331	26	AST-MEN-0148	Men's Casual Shirt — Variant 3 available on ASTOMITY.	No	No
149	Men's Chinos — Variant 3	Men	970	1769	45	4.1	12018	345	AST-MEN-0149	Men's Chinos — Variant 3 available on ASTOMITY.	No	Yes
150	Men's Ethnic Jacket — Variant 3	Men	2680	3349	20	4.3	24195	287	AST-MEN-0150	Men's Ethnic Jacket — Variant 3 available on ASTOMITY.	No	No
151	Men's Running Shorts — Variant 3	Men	860	1229	30	4.5	17784	416	AST-MEN-0151	Men's Running Shorts — Variant 3 available on ASTOMITY.	No	Yes
152	Men's Sweatshirt — Variant 3	Men	1060	1929	45	4.3	24104	323	AST-MEN-0152	Men's Sweatshirt — Variant 3 available on ASTOMITY.	No	Yes
153	Women's Kurti	Women	770	1179	35	4.7	2989	162	AST-WOM-0153	Women's Kurti available on ASTOMITY.	No	Yes
154	Women's Saree	Women	2320	3099	25	4.6	18822	332	AST-WOM-0154	Women's Saree available on ASTOMITY.	No	No
155	Women's Handbag	Women	1650	2539	35	4	10800	113	AST-WOM-0155	Women's Handbag available on ASTOMITY.	No	Yes
156	Women's Dress	Women	1530	2039	25	4.3	8615	194	AST-WOM-0156	Women's Dress available on ASTOMITY.	No	No
157	Women's Jeans	Women	1060	1509	30	4.4	17078	117	AST-WOM-0157	Women's Jeans available on ASTOMITY.	No	Yes
158	Women's Top	Women	370	499	25	4.6	16159	304	AST-WOM-0158	Women's Top available on ASTOMITY.	No	No
159	Women's Ethnic Set	Women	1170	2129	45	4.5	16233	249	AST-WOM-0159	Women's Ethnic Set available on ASTOMITY.	No	Yes
160	Women's Sandals	Women	460	539	15	4.2	13401	374	AST-WOM-0160	Women's Sandals available on ASTOMITY.	No	No
161	Women's Sneakers	Women	1570	2239	30	4.5	12242	262	AST-WOM-0161	Women's Sneakers available on ASTOMITY.	No	Yes
162	Women's Dupatta	Women	500	999	50	4.3	24592	301	AST-WOM-0162	Women's Dupatta available on ASTOMITY.	No	Yes
163	Women's Night Suit	Women	870	1339	35	4.6	9027	176	AST-WOM-0163	Women's Night Suit available on ASTOMITY.	No	Yes
164	Women's Scarf	Women	390	519	25	4.1	6460	181	AST-WOM-0164	Women's Scarf available on ASTOMITY.	No	No
165	Women's Wallet	Women	350	699	50	4.8	22765	114	AST-WOM-0165	Women's Wallet available on ASTOMITY.	No	Yes
166	Women's Watch	Women	1330	1779	25	4.6	9210	390	AST-WOM-0166	Women's Watch available on ASTOMITY.	No	No
167	Women's Tote Bag	Women	1050	2099	50	4.5	3444	446	AST-WOM-0167	Women's Tote Bag available on ASTOMITY.	No	Yes
168	Women's Kurti — Variant 2	Women	690	989	30	4.2	6029	174	AST-WOM-0168	Women's Kurti — Variant 2 available on ASTOMITY.	No	Yes
169	Women's Saree — Variant 2	Women	430	869	50	4.1	1641	47	AST-WOM-0169	Women's Saree — Variant 2 available on ASTOMITY.	No	Yes
170	Women's Handbag — Variant 2	Women	2400	3429	30	4.6	4287	346	AST-WOM-0170	Women's Handbag — Variant 2 available on ASTOMITY.	No	Yes
171	Women's Dress — Variant 2	Women	1500	2719	45	4.1	551	313	AST-WOM-0171	Women's Dress — Variant 2 available on ASTOMITY.	No	Yes
172	Women's Jeans — Variant 2	Women	840	1519	45	4.4	11314	114	AST-WOM-0172	Women's Jeans — Variant 2 available on ASTOMITY.	No	Yes
173	Women's Top — Variant 2	Women	320	459	30	4.8	15804	78	AST-WOM-0173	Women's Top — Variant 2 available on ASTOMITY.	No	Yes
174	Women's Ethnic Set — Variant 2	Women	740	1229	40	4.4	19057	342	AST-WOM-0174	Women's Ethnic Set — Variant 2 available on ASTOMITY.	No	Yes
175	Women's Sandals — Variant 2	Women	500	629	20	4.1	18593	175	AST-WOM-0175	Women's Sandals — Variant 2 available on ASTOMITY.	No	No
176	Women's Sneakers — Variant 2	Women	1070	1429	25	4.1	13787	330	AST-WOM-0176	Women's Sneakers — Variant 2 available on ASTOMITY.	No	No
177	Women's Dupatta — Variant 2	Women	790	1059	25	4.6	12614	250	AST-WOM-0177	Women's Dupatta — Variant 2 available on ASTOMITY.	No	No
178	Women's Night Suit — Variant 2	Women	1140	1629	30	4.7	14201	176	AST-WOM-0178	Women's Night Suit — Variant 2 available on ASTOMITY.	No	Yes
179	Women's Scarf — Variant 2	Women	230	269	15	4.8	6958	340	AST-WOM-0179	Women's Scarf — Variant 2 available on ASTOMITY.	No	No
180	Women's Wallet — Variant 2	Women	660	939	30	4.5	5296	142	AST-WOM-0180	Women's Wallet — Variant 2 available on ASTOMITY.	No	Yes
